	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
REGN	-0.077	-0.016	-0.072	0.25	0.529	-0.067	-0.031	-0.137
IR	0.316	0.059	0.35	0.146	0.332	0.407	0.178	1.052
XEL	0.046	0.009	0.045	0.081	0.176	0.117	0.054	0.257
MLM	-0.003	-0.0	-0.003	0.15	0.341	-0.004	-0.001	-0.009
AIV	0.211	0.041	0.249	0.102	0.24	0.4	0.17	1.035
NOV	0.507	0.09	0.787	0.139	0.36	0.644	0.249	2.184
MDT	0.004	0.001	0.005	0.083	0.197	0.012	0.005	0.028
JPM	0.185	0.036	0.281	0.134	0.353	0.27	0.102	0.795
APD	0.494	0.088	0.409	0.127	0.257	0.688	0.342	1.591
NBL	-0.006	-0.001	-0.007	0.151	0.35	-0.008	-0.003	-0.02
CINF	0.291	0.055	0.445	0.087	0.227	0.631	0.242	1.954
ADI	0.427	0.077	0.365	0.116	0.237	0.664	0.326	1.536
BRK-B	0.112	0.022	0.131	0.088	0.207	0.255	0.109	0.631
IRM	-0.224	-0.051	-0.199	0.149	0.305	-0.347	-0.17	-0.652
DLTR	0.17	0.033	0.19	0.092	0.212	0.362	0.158	0.895
DOV	0.506	0.089	0.598	0.128	0.298	0.699	0.3	2.005
ATVI	-0.182	-0.041	-0.175	0.122	0.261	-0.337	-0.158	-0.669
NSC	0.365	0.067	0.525	0.094	0.238	0.715	0.283	2.2
